country,project_name,year,status,lendprojectcost,boardapprovaldate
Nigeria,Third Lagos State Development Policy Operation,2015,Closed,"200,000,000",2015-06-26T00:00:00Z
Somalia,Somalia Recurrent Cost & Reform Financing Project - Phase 2,2015,Active,"144,000,000",2015-06-25T00:00:00Z
Philippines,Reduce Vulnerability to Flooding in MM,2015,Closed,"1,500,000",2015-06-24T00:00:00Z
Sri Lanka,Early Childhood Development Project,2015,Active,"50,000,000",2015-06-24T00:00:00Z
Liberia,Liberia:  LACEEP Additional Financing,2015,Active,"60,000,000",2015-06-24T00:00:00Z
West Bank and Gaza, Water Sector Capacity Building Project Additional Financing,2015,Closed,"2,000,000",2015-06-24T00:00:00Z
Sri Lanka,LK Water Supply and Sanitation Improvement Project,2015,Active,"183,900,000",2015-06-24T00:00:00Z
Lao PDR,Power Grid Improvement Project,2015,Active,"30,000,000",2015-06-23T00:00:00Z
Lao PDR,Lao PDR Health Governance and Nutrition Development Project,2015,Active,"26,400,000",2015-06-23T00:00:00Z
Uzbekistan,Additional Financing for Bukhara and Samarkand Sewerage Project,2015,Active,"105,000,000",2015-06-23T00:00:00Z
Lao PDR,LA-Poverty Reduction Fund II - AF,2015,Closed,"14,000,000",2015-06-23T00:00:00Z
China,Poverty Alleviation and Agriculture-based Industry Pilot and Demonstration in Poor Areas Project,2015,Active,"295,100,000",2015-06-23T00:00:00Z
Tanzania,Open Government and Public Financial Management,2015,Closed,"100,000,000",2015-06-23T00:00:00Z
Uzbekistan,Regional Roads Development Project,2015,Active,"240,000,000",2015-06-23T00:00:00Z
Tajikistan,Additional Financing to TJ Health Services Improvement Project,2015,Active,"10,000,000",2015-06-22T00:00:00Z
Tajikistan,Additional Financing for Tajikistan PAMP II,2015,Active,"12,000,000",2015-06-22T00:00:00Z
Djibouti,Enhancing income opportunities in DJ,2015,Closed,"2,730,000",2015-06-19T00:00:00Z
Turkey,EU/IPA Energy Sector Technical Assistance Program - Phase 2 Project,2015,Active,"13,480,000",2015-06-19T00:00:00Z
Samoa,PACIFIC RESILIENCE PROJECT UNDER PACIFIC RESILIENCE PROGRAM,2015,Active,"13,940,000",2015-06-19T00:00:00Z
Tonga,Pacific Resilience Program,2015,Active,"12,180,000",2015-06-19T00:00:00Z
Vanuatu,Pacific Resilience Program,2015,Active,"1,650,000",2015-06-19T00:00:00Z
Marshall Islands,PACIFIC RESILIENCE PROJECT UNDER PACIFIC RESILIENCE PROGRAM,2015,Closed,"1,650,000",2015-06-19T00:00:00Z
,Pacific Resilience Program,2015,Active,"1,320,000",2015-06-19T00:00:00Z
Tonga,Pacific Resilience Program,2015,Active,"15,080,000",2015-06-19T00:00:00Z
Samoa,WS:  Pacific Regional Connectivity Program: Phase 3 - Samoa,2015,Active,"49,940,000",2015-06-19T00:00:00Z
Pakistan,PK-Sindh Barrages Improvement Project,2015,Active,"208,000,000",2015-06-19T00:00:00Z
,Pacific Resilience Program,2015,Active,"9,470,000",2015-06-19T00:00:00Z
Pakistan,PK Fiscally Sustainable and Inclusive Growth DPCII,2015,Closed,"500,000,000",2015-06-18T00:00:00Z
Maldives,Climate Change Adaptation Project,2015,Closed,"4,210,000",2015-06-18T00:00:00Z
Bhutan, Bhutan Institutional Capacity Development of the Royal Audit Authority Project,2015,Closed,"280,000",2015-06-18T00:00:00Z
India,Andhra Pradesh Disaster Recovery Project,2015,Active,"370,000,000",2015-06-17T00:00:00Z
Morocco,MA-Partnership for Market Readiness,2015,Closed,"3,710,000",2015-06-17T00:00:00Z
Bhutan,BT: 2nd DPC Series,2015,Closed,"20,000,000",2015-06-17T00:00:00Z
,Regional Trade Facilitation and Competitiveness DPO,2015,Closed,"100,000,000",2015-06-16T00:00:00Z
Cabo Verde,Cape Verde Ninth Poverty Reduction Support Credit,2015,Closed,"10,000,000",2015-06-16T00:00:00Z
Senegal,Senegal Urban Water and Sanitation Project,2015,Active,"70,000,000",2015-06-15T00:00:00Z
Kenya,CF Kengen; Sondu Miriu; Kipevu,2015,Active,"17,060,000",2015-06-12T00:00:00Z
,EA Regional Transport ; Trade and Development Facilitation Project (Second Phase of Program),2015,Active,"676,000,000",2015-06-11T00:00:00Z
,Sahel Malaria and Neglected Tropical Diseases,2015,Active,"121,000,000",2015-06-11T00:00:00Z
Afghanistan,ADDITIONAL FINANCING FOR SECOND CUSTOMS REFORM AND TRADE FACILITATION PROJECT,2015,Active,"21,500,000",2015-06-11T00:00:00Z
Argentina,Protecting Vulnerable People Against Noncommunicable Diseases Project,2015,Active,"437,500,000",2015-06-11T00:00:00Z
Argentina,AR Socio-Economic Inclusion In Rural Areas,2015,Active,"76,500,000",2015-06-11T00:00:00Z
Grenada,Regional Disaster Vulnerability Reduction Project (Additional Finance),2015,Active,"8,800,000",2015-06-08T00:00:00Z
Armenia,Geothermal Exploratory Drilling Project,2015,Closed,"10,680,000",2015-06-08T00:00:00Z
Somalia,ICT Sector Support in Somalia Phase II,2015,Active,"14,000,000",2015-06-08T00:00:00Z
Kenya, Kenya Climate Venture Facility,2015,Active,"4,900,000",2015-06-08T00:00:00Z
Kenya,Kenya Informal Settlements Improvement Projects - Additional financing,2015,Active,,2015-06-08T00:00:00Z
Bangladesh,Bangladesh NATP-2: National Agricultural Technology Program - Phase II Project,2015,Active,"214,000,000",2015-06-05T00:00:00Z
Bangladesh,Financial Sector Support Project,2015,Active,"350,000,000",2015-06-05T00:00:00Z
Uganda,UG GEF Energy for Rural Transformation III,2015,Active,"168,200,000",2015-06-05T00:00:00Z
Uganda,UG GEF Energy for Rural Transformation III,2015,Active,,2015-06-05T00:00:00Z
Nicaragua,Nicaragua Strengthening the Public Health Care System,2015,Active,"60,000,000",2015-06-04T00:00:00Z
Comoros,Comoros Second Economic Governance Reform Grant,2015,Closed,"3,000,000",2015-06-02T00:00:00Z
Pakistan,Disaster and Climate Resilience Improvement Project,2015,Active,"125,000,000",2015-06-02T00:00:00Z
India,Jhelum and Tawi Flood Recovery Project,2015,Active,"250,000,000",2015-06-02T00:00:00Z
Tajikistan,Public Finance Management Modernization Project 2,2015,Active,"21,000,000",2015-06-01T00:00:00Z
Indonesia, Improving Energy Project Delivery,2015,Closed,"1,500,000",2015-06-01T00:00:00Z
China,Promotion of Sustainable Cities in China,2015,Closed,"8,000,000",2015-06-01T00:00:00Z
Benin,Benin Emergency Urban Env. 2nd Add. Fin.,2015,Closed,"40,000,000",2015-05-29T00:00:00Z
Vietnam,Ho Chi Minh City Green Transport Development,2015,Active,"137,450,000",2015-05-29T00:00:00Z
Cote d'Ivoire,CI- Productive Social Safety Net,2015,Active,"50,000,000",2015-05-29T00:00:00Z
China,Xinjiang Technical and Vocational Education and Training Project,2015,Active,"102,680,000",2015-05-29T00:00:00Z
Tanzania,Strengthening Primary Health Care for Results,2015,Active,"240,000,000",2015-05-28T00:00:00Z
Albania, Albania: Procurement Performance Enhancement Project,2015,Closed,"300,000",2015-05-28T00:00:00Z
India,National Cyclone Risk Mitigation Project-II,2015,Active,"387,000,000",2015-05-28T00:00:00Z
Uganda,Third Northern Uganda Social Action Fund (NUSAF 3),2015,Active,"130,000,000",2015-05-27T00:00:00Z
Senegal,Additional Financing - Stormwater Management and Climate Change Adaptation Project,2015,Active,"38,000,000",2015-05-27T00:00:00Z
Guyana,Guyana Early Childhood Education Project,2015,Closed,"1,700,000",2015-05-27T00:00:00Z
Haiti,HT Sustainable Rural and Small Towns Water and Sanitation Project,2015,Active,"50,000,000",2015-05-26T00:00:00Z
"Congo, Dem. Rep.",DR CONGO - Quality and Relevance of Secondary and Tertiary Education Project,2015,Active,"200,000,000",2015-05-26T00:00:00Z
,AFFC2/RI-Lake Victoria Environmental Management Project APL-1 AF,2015,Closed,"22,000,000",2015-05-26T00:00:00Z
,Regional Sahel Pastoralism Support Project,2015,Active,"248,000,000",2015-05-26T00:00:00Z
Afghanistan,SEHAT Additional Financing,2015,Active,,2015-05-25T00:00:00Z
Zambia,Lusaka Sanitation Project,2015,Active,"68,500,000",2015-05-22T00:00:00Z
Zambia,Girls Education and Womens Empowerment and Livelihood Project,2015,Active,"65,000,000",2015-05-22T00:00:00Z
Central African Republic,Health System Support Project Additional Financing,2015,Active,"12,000,000",2015-05-22T00:00:00Z
,Regional Communications Infrastructure Program Phase 5 - Uganda,2015,Active,"85,000,000",2015-05-22T00:00:00Z
Niger,Population and Health Support Project,2015,Active,"103,000,000",2015-05-22T00:00:00Z
,Volta River Basin Strategic Action Programme Implementation,2015,Closed,,2015-05-21T00:00:00Z
Somalia,Water for Agropastoral Livelihoods Pilot Project,2015,Closed,"2,000,000",2015-05-21T00:00:00Z
Ghana, Ghana EITI - Post-compliance II,2015,Closed,"400,000",2015-05-20T00:00:00Z
Guinea,GN PRIMARY HEALTH SERVICES IMPROVEMENT PROJECT,2015,Active,"15,100,000",2015-05-20T00:00:00Z
Moldova,Disaster and Climate Risk Management Project Additional Financing,2015,Closed,"2,000,000",2015-05-19T00:00:00Z
Ethiopia,Ethiopia- Expressway Development Support Project,2015,Active,"370,000,000",2015-05-19T00:00:00Z
Moldova,Moldova Agriculture Competitiveness Project Additional Financing,2015,Active,"12,000,000",2015-05-19T00:00:00Z
Central African Republic,Emergency Public Services Response Project,2015,Closed,"10,000,000",2015-05-19T00:00:00Z
India,India: Enhancing Teacher Effectiveness in Bihar,2015,Active,"357,000,000",2015-05-19T00:00:00Z
Myanmar,Myanmar EITI Implementation Grant,2015,Closed,"350,000",2015-05-18T00:00:00Z
Kenya,Kenya GPE Primary Education Development Project,2015,Active,"88,400,000",2015-05-18T00:00:00Z
Ghana,Ghana: Public Financial Management Reform Project,2015,Active,"45,000,000",2015-05-15T00:00:00Z
"Congo, Dem. Rep.",DRC Reinsertion and Reintegration Project,2015,Closed,"21,500,000",2015-05-15T00:00:00Z
Mauritania,Mauritania Social Safety Net System,2015,Active,"29,000,000",2015-05-14T00:00:00Z
Europe & Central Asia,Developing statistical capacity in national accounts; price statistics and purchasing power parities in the CIS region,2015,Closed,"390,000",2015-05-13T00:00:00Z
West Bank and Gaza, Southern West Bank SWM Project - Additional Financing MDTF,2015,Closed,"1,500,000",2015-05-11T00:00:00Z
China,Huainan Mining Area Rehabilitation Project,2015,Active,"168,400,000",2015-05-11T00:00:00Z
Bhutan,Bhutan Regional Trade and Transport,2015,Closed,"500,000",2015-05-08T00:00:00Z
Vanuatu,Vanuatu Aviation Investment Project,2015,Closed,"59,800,000",2015-05-08T00:00:00Z
Nigeria,Nigeria Partnership for Education Project,2015,Active,"100,000,000",2015-05-08T00:00:00Z
Tanzania,TZ Sustainable Management of Mineral Resources,2015,Active,"50,000,000",2015-05-07T00:00:00Z
Mali,MALI - Higher Education Support Project,2015,Active,"33,000,000",2015-05-07T00:00:00Z
Guatemala,Guatemala EITI Post-Compliance I,2015,Closed,"450,000",2015-05-07T00:00:00Z
Jordan, Strengthening Accountability for Improved Education Services in Jordan,2015,Closed,"820,000",2015-05-07T00:00:00Z
Malawi,Malawi Floods Emergency Recovery,2015,Active,"80,000,000",2015-05-07T00:00:00Z
Zambia, Electricity Access for Low-income Households in Zambia,2015,Closed,"4,950,000",2015-05-07T00:00:00Z
"Egypt, Arab Rep.",Inclusive Housing Finance Program,2015,Active,"500,000,000",2015-05-05T00:00:00Z
Ghana,Additional Financing for Energy Development and Access Project,2015,Active,"60,000,000",2015-04-30T00:00:00Z
Kenya,Financial Sector Support Project.,2015,Active,"37,000,000",2015-04-30T00:00:00Z
Pakistan,Punjab Skills Development,2015,Active,"56,300,000",2015-04-30T00:00:00Z
Guyana,Cunha Canal Rehabilitation,2015,Closed,"3,270,000",2015-04-30T00:00:00Z
China,China Contaminated Site Management Project,2015,Active,"75,000,000",2015-04-30T00:00:00Z
Croatia,Sustainable Croatian Railways in Europe,2015,Active,"200,800,000",2015-04-30T00:00:00Z
Nigeria,Nigeria Edo State Fiscal Improvement and Service Delivery Operation,2015,Closed,"75,000,000",2015-04-29T00:00:00Z
Lao PDR,Second Lao Environment and Social Project (Additional Financing to the Protected Area and Wildlife Project),2015,Active,"16,600,000",2015-04-29T00:00:00Z
,Southern Africa Trade and Transport Facilitation Program - SOP2,2015,Active,"69,000,000",2015-04-29T00:00:00Z
,OMVG Interconnection Project,2015,Active,"711,000,000",2015-04-29T00:00:00Z
Georgia,First Programmatic Inclusive Growth Development Policy Operation,2015,Closed,"60,000,000",2015-04-28T00:00:00Z
Georgia,Private Sector Competitiveness DPO1,2015,Closed,"60,000,000",2015-04-28T00:00:00Z
India,Second Tamil Nadu Road Sector Project,2015,Active,"778,200,000",2015-04-28T00:00:00Z
Mozambique,Additional Financing for Mozambique Higher Education Science and Technology Project,2015,Active,"45,000,000",2015-04-28T00:00:00Z
Brazil,ProCerrado Federal Project,2015,Closed,"4,300,000",2015-04-27T00:00:00Z
Zambia,Zambia COMACO Landscape Management,2015,Closed,"1,330,000",2015-04-27T00:00:00Z
Morocco,MA-Health Sector Support,2015,Active,"100,000,000",2015-04-24T00:00:00Z
"Gambia, The",GM Maternal and Child Nutrition and Health Results Project,2015,Active,"5,000,000",2015-04-24T00:00:00Z
Morocco,Clean and Efficient Energy Project,2015,Active,"158,310,000",2015-04-24T00:00:00Z
,SWEDD AF for Burkina Faso,2015,Active,"34,800,000",2015-04-23T00:00:00Z
Nigeria,Nigeria - Program to Support Saving One Million Lives,2015,Active,"500,000,000",2015-04-23T00:00:00Z
Myanmar,Agricultural Development Support Project,2015,Active,"100,000,000",2015-04-23T00:00:00Z
Burundi,Strengthening Institutional Capacity for Government Effectiveness Project,2015,Active,"27,200,000",2015-04-22T00:00:00Z
Ecuador,EC Guayaquil Wastewater Management Project,2015,Active,"247,800,000",2015-04-22T00:00:00Z
Maldives,Maldives Environmental Management Project Additional Financing,2015,Closed,"3,480,000",2015-04-22T00:00:00Z
West Bank and Gaza,Hebron Regional Wastewater Management Project - Phase 1,2015,Active,"61,650,000",2015-04-22T00:00:00Z
Uganda,Skills Development Project,2015,Active,"100,000,000",2015-04-22T00:00:00Z
Cambodia,Cambodia PFMMP-Additional Financing P151984,2015,Closed,"7,500,000",2015-04-17T00:00:00Z
Lao PDR,Second Global Partnership for Education,2015,Active,"16,800,000",2015-04-14T00:00:00Z
Jordan,JO-MSME Development for Inclusive Growth,2015,Active,"50,000,000",2015-04-10T00:00:00Z
Nigeria,NG-Polio Eradication Support - Additional Financing,2015,Active,"200,000,000",2015-04-10T00:00:00Z
"Egypt, Arab Rep.",Strengthening Social Safety Net Project,2015,Active,"4,507,000,000",2015-04-10T00:00:00Z
Uganda,Agriculture Cluster Development Project,2015,Active,"248,000,000",2015-04-09T00:00:00Z
Nepal,ROAD SAFETY SUPPORT PROJECT,2015,Closed,"7,470,000",2015-04-08T00:00:00Z
Djibouti,DJ HRITF Health AF,2015,Closed,,2015-04-08T00:00:00Z
Panama,FIRST PROGRAMMATIC SHARED PROSPERITY DEVELOPMENT POLICY LOAN,2015,Closed,"300,000,000",2015-04-07T00:00:00Z
Argentina,Rural Corridors and Biodiversity,2015,Active,"21,580,000",2015-04-07T00:00:00Z
Argentina,Forests and Community,2015,Active,"61,060,000",2015-04-07T00:00:00Z
Argentina,Argentina Renewable Energy for Rural Areas Project,2015,Active,"240,090,000",2015-04-07T00:00:00Z
Burkina Faso,B. Faso - Education Access and Quality Improvement Project (EAQIP),2015,Active,"51,000,000",2015-04-02T00:00:00Z
Burkina Faso,BF - DPO - Growth and Compet. Credit 4,2015,Closed,"100,000,000",2015-04-02T00:00:00Z
Pakistan,Sindh Global Partnership for Education Project,2015,Closed,"8,293,400,000",2015-04-02T00:00:00Z
Ethiopia,Second Agricultural Growth Project,2015,Active,"365,500,000",2015-03-31T00:00:00Z
India,Tamil Nadu Sustainable Urban Development Program,2015,Active,"600,000,000",2015-03-31T00:00:00Z
Burundi,Burundi- Infrastructure Resilience Emergency Project,2015,Closed,"25,000,000",2015-03-31T00:00:00Z
Mozambique,MZ-Additional Financing for Roads and Bridges Management  and Maintenance Program - Ph-2 (AF3),2015,Active,"76,100,000",2015-03-31T00:00:00Z
Honduras,HN AF Social Protection,2015,Active,"25,000,000",2015-03-31T00:00:00Z
Kiribati,Kiribati Road Rehabilitation Project Additional Financing,2015,Active,"17,640,000",2015-03-31T00:00:00Z
Kenya,KE Electricity Modernization Project,2015,Active,"562,000,000",2015-03-31T00:00:00Z
China,Yunnan Highway Asset Management Project,2015,Active,"280,830,000",2015-03-31T00:00:00Z
China,China: Gansu Rural-Urban Integration Project,2015,Active,"227,490,000",2015-03-31T00:00:00Z
Kenya,KE Electricity Modernization Project,2015,Active,"200,000,000",2015-03-31T00:00:00Z
Kazakhstan,KZ SKILLS AND JOBS PROJECT,2015,Active,"137,000,000",2015-03-30T00:00:00Z
Armenia,Electricity Transmission Network Improvement Project,2015,Active,"64,860,000",2015-03-30T00:00:00Z
Mozambique,MZ Second Agriculture Development Policy Operation AgDPO-2,2015,Closed,"50,000,000",2015-03-30T00:00:00Z
Albania,ALBANIA PUBLIC FINANCE POLICY BASED GUARANTEE,2015,Closed,"226,700,000",2015-03-27T00:00:00Z
Belarus,Forestry Development Project,2015,Active,,2015-03-27T00:00:00Z
Caribbean small states,Caribbean Climate Innovation Center,2015,Closed,"3,000,000",2015-03-27T00:00:00Z
Albania,Results-based Road Maintenance and Safety Project,2015,Active,"156,000,000",2015-03-27T00:00:00Z
Kyrgyz Republic,Third Village Investment Project,2015,Active,"12,000,000",2015-03-27T00:00:00Z
Belarus,Forestry Development Project,2015,Active,"40,710,000",2015-03-27T00:00:00Z
Malawi,Additional Financing Strengthening Safety Nets Systems Proj. (MASAFIV),2015,Active,"74,990,000",2015-03-26T00:00:00Z
Tuvalu,Tuvalu Second Development Policy Operation,2015,Closed,"1,500,000",2015-03-26T00:00:00Z
Cote d'Ivoire,Youth Employment and Skills Development - Additional Financing,2015,Active,"50,000,000",2015-03-26T00:00:00Z
Bangladesh,Bangladesh Urban Resilience Project,2015,Active,"182,000,000",2015-03-24T00:00:00Z
India,IN Punjab Rural Water and Sanitation Sector Improvement Project,2015,Active,"354,000,000",2015-03-24T00:00:00Z
Guinea-Bissau,Guinea-Bissau Public Sector Strengthening Project,2015,Active,"5,000,000",2015-03-24T00:00:00Z
Serbia,First Programmatic State Owned Enterprises Reform DPL,2015,Closed,"100,000,000",2015-03-24T00:00:00Z
Mozambique,Mozambique - Artisanal Fisheries and Climate Change,2015,Closed,"3,400,000",2015-03-23T00:00:00Z
Pakistan,PK Sindh Irrigated Agriculture Productivity Enhancement Project,2015,Active,"242,200,000",2015-03-20T00:00:00Z
Morocco,Accessing Overseas Employment Opportunities for Moroccan Youth,2015,Active,"1,500,000",2015-03-19T00:00:00Z
Comoros,Comoros Social Safety Net Project,2015,Active,"6,000,000",2015-03-19T00:00:00Z
Lebanon,Emergency Primary Healthcare Restoration Project,2015,Closed,"21,000,000",2015-03-19T00:00:00Z
Bangladesh,Nuton Jibon Livelihood Improvement Project,2015,Active,"220,000,000",2015-03-18T00:00:00Z
Paraguay,Enhancing Fiscal Management; Social Protection and Financial Inclusion,2015,Closed,"100,000,000",2015-03-18T00:00:00Z
Pakistan,Global Partnership for Education - Balochistan Education Project,2015,Active,"34,000,000",2015-03-18T00:00:00Z
Albania,Albania-Enhancing Quality of Financial Reporting (EQ-FINREP),2015,Closed,"2,460,000",2015-03-17T00:00:00Z
Benin,Tenth Poverty Reduction Support Credit,2015,Closed,"20,000,000",2015-03-17T00:00:00Z
Tajikistan,Communal Services Development Fund,2015,Closed,"13,500,000",2015-03-17T00:00:00Z
Romania,Romania Secondary Education Project,2015,Active,"243,100,000",2015-03-16T00:00:00Z
Seychelles,Seychelles: Extractive Industries Transparency Initiative Implementation,2015,Closed,"200,000",2015-03-16T00:00:00Z
Papua New Guinea,Inclusive Development in Bougainville Additional Financing,2015,Active,"2,400,000",2015-03-16T00:00:00Z
,West Africa Region Fisheries Program AF Guinea; Sierra Leone & Liberia,2015,Active,"23,050,000",2015-03-16T00:00:00Z
,West Africa - Mauritania Fish. APL,2015,Active,,2015-03-16T00:00:00Z
Mali,Mali Post Compliance I: EITI Implementation,2015,Closed,"400,000",2015-03-16T00:00:00Z
Serbia,Serbia - Real Estate Management Project,2015,Active,"44,000,000",2015-03-16T00:00:00Z
China,Sichuan Chongqing Cooperation: Guang'an Demonstration Area Infrastructure Development Project,2015,Active,"203,310,000",2015-03-16T00:00:00Z
Armenia,Armenia Social Investment and Local Development Project,2015,Active,"42,850,000",2015-03-13T00:00:00Z
"Congo, Dem. Rep.",DRC - Goma Airport Safety Improvement Project,2015,Active,"52,000,000",2015-03-13T00:00:00Z
China,Hebei Rural Renewable Energy Development Project,2015,Active,"150,780,000",2015-03-13T00:00:00Z
Peru,PERU SECOND DPL WITH A CAT DDO,2015,Closed,"400,000,000",2015-03-12T00:00:00Z
Tanzania,Tanzania: Expanding Rice Production,2015,Active,"22,900,000",2015-03-12T00:00:00Z
Dominican Republic,INTEGRATED SOCIAL PROTECTION AND PROMOTION PROJECT,2015,Active,"75,000,000",2015-03-12T00:00:00Z
Fiji,Fiji Transport Infrastructure Investment Project,2015,Active,"167,500,000",2015-03-11T00:00:00Z
Lebanon,Emergency Education System Stabilization,2015,Closed,"32,000,000",2015-03-09T00:00:00Z
Colombia,Colombia: Extractive Industries Transparency Initiative Implementation,2015,Closed,"1,000,000",2015-03-09T00:00:00Z
Mexico,MEXICO Sustainable Energy Technologies Development for Climate Change,2015,Active,,2015-03-06T00:00:00Z
South Africa,Zambezi River Basin Management Project,2015,Closed,"4,000,000",2015-03-06T00:00:00Z
Ukraine,Serving People; Improving Health Project,2015,Active,"261,030,000",2015-03-04T00:00:00Z
Jamaica,First Competitiveness and Fiscal Management Programmatic DPL,2015,Closed,"75,000,000",2015-03-03T00:00:00Z
Ukraine,Ukraine: EITI Implementation Support,2015,Closed,0,2015-03-03T00:00:00Z
World,DGM Program and Global Learning and Knowledge Exchange Project,2015,Active,"4,720,000",2015-03-03T00:00:00Z
Belize,BZ Marine Conservation and Climate Adaptation,2015,Active,"7,310,000",2015-03-03T00:00:00Z
Brazil,BR DGM for Indigenous People and Traditional Communities,2015,Active,"6,500,000",2015-03-03T00:00:00Z
Tanzania,Dar es Salaam Metropolitan Development Project,2015,Active,"330,300,000",2015-03-02T00:00:00Z
Morocco,Morocco Second Competitiveness DPL,2015,Closed,"200,000,000",2015-03-02T00:00:00Z
Kazakhstan,SME Competitiveness Project,2015,Active,"46,000,000",2015-03-02T00:00:00Z
Ghana,Ghana FIP - Enhancing Natural Forest and Agroforest Landscapes Project,2015,Active,,2015-02-27T00:00:00Z
Vietnam,Additional Financing to Second Northern Mountains Poverty Reduction Project,2015,Active,"110,000,000",2015-02-27T00:00:00Z
,AFCC2/RI-South West Indian Ocean Fisheries Governance and Shared Growth Project 1,2015,Active,,2015-02-27T00:00:00Z
,AFCC2/RI-South West Indian Ocean Fisheries Governance and Shared Growth Project 1,2015,Active,"91,000,000",2015-02-27T00:00:00Z
Albania,Health System Improvement Project,2015,Active,"40,000,000",2015-02-27T00:00:00Z
Europe & Central Asia,Improvement of CIS Statistical Infrastructure and Development of CIS-Stat&#8217;s Web-portal,2015,Active,"1,400,000",2015-02-26T00:00:00Z
Europe & Central Asia,Second Phase of the Central Asia Road Links Program,2015,Active,"54,000,000",2015-02-25T00:00:00Z
India,Partial Risk Sharing Facility in Energy Efficiency,2015,Active,"18,000,000",2015-02-25T00:00:00Z
India,Partial Risk Sharing Facility in Energy Efficiency,2015,Active,"25,000,000",2015-02-25T00:00:00Z
Bolivia,Bolivia Disaster Risk Managment DPC and DPL,2015,Closed,"200,000,000",2015-02-24T00:00:00Z
Tanzania,Housing Finance Project,2015,Active,"60,000,000",2015-02-24T00:00:00Z
India,MSME Growth Innovation and Inclusive Finance Project,2015,Closed,"550,000,000",2015-02-24T00:00:00Z
Nicaragua,NI Caribbean Coast Food Security Project,2015,Closed,"42,000,000",2015-02-20T00:00:00Z
Nepal,Higher Education Reforms Project,2015,Active,"795,000,000",2015-02-19T00:00:00Z
Bangladesh,GPOBA Scale-up for Bangladesh RERED II,2015,Active,"15,000,000",2015-02-13T00:00:00Z
Uzbekistan,Pap-Angren Railway,2015,Active,"1,633,750,000",2015-02-13T00:00:00Z
Morocco,MA-Solid Waste Sector DPL4,2015,Closed,"130,000,000",2015-02-12T00:00:00Z
Panama,Sustainable Production Systems and Conservation of Biodiversity,2015,Closed,,2015-02-09T00:00:00Z
Togo,TOGO - Education and Institutional Strengthening Project 2,2015,Closed,"27,800,000",2015-02-06T00:00:00Z
Colombia,Colombia: Collective Reparation for Victims through Social Reconstruction Project,2015,Closed,"3,300,000",2015-02-04T00:00:00Z
Niger,Niger Africa Extractive Industries Trust Fund,2015,Closed,"1,500,000",2015-02-03T00:00:00Z
Kyrgyz Republic,KYRGYZ REP IMPLEMENTATION OF NSDS,2015,Closed,"3,300,000",2015-02-03T00:00:00Z
China,Guilin Integrated Environment Management,2015,Active,"155,460,000",2015-02-02T00:00:00Z
Kyrgyz Republic,Energy Sector Development Policy Operation,2015,Closed,"24,000,000",2015-01-29T00:00:00Z
,Niger River Basin Management Project,2015,Closed,"7,500,000",2015-01-28T00:00:00Z
Pakistan,PK Sindh Public Sector Management Reform Project,2015,Active,"282,000,000",2015-01-28T00:00:00Z
Tuvalu,Energy Sector Development Project,2015,Active,"9,100,000",2015-01-26T00:00:00Z
Liberia,Supporting Psychosocial Health and Resilience in Liberia,2015,Closed,"3,000,000",2015-01-25T00:00:00Z
Rwanda,Social Protection System Support,2015,Closed,"70,000,000",2015-01-22T00:00:00Z
Pakistan,Governance Support Project for KP FATA and Balochistan,2015,Closed,"4,000,000",2015-01-22T00:00:00Z
West Bank and Gaza,Health System Resiliency Strengthening,2015,Active,"8,500,000",2015-01-21T00:00:00Z
Albania,Albania FSA - SECO Trust Fund for Strengthening Supervisory Capacities,2015,Closed,"2,060,000",2015-01-21T00:00:00Z
Mauritania,Mauritania - EITI Post-Compliance  II,2015,Closed,"350,000",2015-01-20T00:00:00Z
Argentina,Argentina Youth Employment Support Project,2015,Active,"767,000,000",2015-01-15T00:00:00Z
Peru,PE AF-Second Optimization of Lima Water & Sewerage,2015,Active,"65,000,000",2015-01-15T00:00:00Z
Georgia,Empowering Local Community Entrepreneurs,2015,Closed,"2,500,000",2015-01-15T00:00:00Z
Burundi,Eight Economic Reform Support Grant 8,2015,Closed,"25,000,000",2015-01-13T00:00:00Z
Burkina Faso,Urban Water Sector Project - Additional Financing,2015,Active,"80,000,000",2015-01-12T00:00:00Z
Philippines,Studies for Sustainable Flood Management,2015,Closed,"7,000,000",2015-01-12T00:00:00Z
Uganda,Uganda Multisectoral Food Security and Nutrition Project,2015,Active,"27,640,000",2015-01-07T00:00:00Z
World,Global Development Awards and Medals,2015,Active,"1,660,000",2015-01-05T00:00:00Z
Zambia,Zambia Statistical Capacity Building,2014,Closed,"250,000",2014-12-23T00:00:00Z
Vietnam,Second Ho Chi Minh City Environmental Sanitation Project,2014,Active,"495,000,000",2014-12-23T00:00:00Z
China,Zhengzhou Urban Rail Project,2014,Active,"3,089,410,000",2014-12-23T00:00:00Z
China,Chongqing Small Towns Water Environment Management Project,2014,Active,"218,620,000",2014-12-23T00:00:00Z
Mozambique,Second Climate Change DPO,2014,Closed,"50,000,000",2014-12-23T00:00:00Z
North Macedonia,ADDITIONAL FINANCING - MSIP (EU-IPA),2014,Closed,"26,540,000",2014-12-22T00:00:00Z
Kazakhstan,Kazakhstan: Fostering Productive Innovation Project,2014,Active,"110,000,000",2014-12-22T00:00:00Z
"Micronesia, Fed. Sts.",Pacific Islands Regional Oceanscape Program - FSM,2014,Active,"5,500,000",2014-12-22T00:00:00Z
